X,Y,Temperature
0.468750,0.781250,0.100336
0.468750,0.937500,0.120542
0.468750,1.093750,0.140824
0.468750,1.250000,0.161195
0.468750,1.406250,0.181667
0.468750,1.562500,0.202255
0.468750,1.718750,0.222970
0.468750,1.875000,0.243826
0.468750,2.031250,0.264836
0.468750,2.187500,0.286014
0.468750,2.343750,0.307373
0.468750,2.500000,0.328928
0.468750,2.656250,0.350691
0.468750,2.812500,0.372678
0.468750,2.968750,0.394902
0.468750,3.125000,0.417378
0.468750,3.281250,0.440121
0.468750,3.437500,0.463145
0.468750,3.593750,0.486466
0.468750,3.750000,0.510100
0.468750,3.906250,0.534062
0.468750,4.062500,0.558369
0.468750,4.218750,0.583037
0.468750,4.375000,0.608083
0.468750,4.531250,0.633523
0.468750,4.687500,0.659377
0.468750,4.843750,0.685661
0.468750,5.000000,0.712394
0.468750,5.156250,0.739596
0.468750,5.312500,0.767285
0.468750,5.468750,0.795482
0.468750,5.625000,0.824207
0.468750,5.781250,0.853481
0.468750,5.937500,0.883327
0.468750,6.093750,0.913766
0.468750,6.250000,0.944823
0.468750,6.406250,0.976520
0.468750,6.562500,1.008882
0.468750,6.718750,1.041936
0.468750,6.875000,1.075707
0.468750,7.031250,1.110224
0.468750,7.187500,1.145514
0.468750,7.343750,1.181607
0.468750,7.500000,1.218534
0.468750,7.656250,1.256327
0.468750,7.812500,1.295019
0.468750,7.968750,1.334644
0.468750,8.125000,1.375240
0.468750,8.281250,1.416843
0.468750,8.437500,1.459493
0.468750,8.593750,1.503231
0.468750,8.750000,1.548102
0.468750,8.906250,1.594149
0.468750,9.062500,1.641420
0.468750,9.218750,1.689966
0.468750,9.375000,1.739840
0.468750,9.531250,1.791096
0.468750,9.687500,1.843792
0.468750,9.843750,1.897992
0.468750,10.000000,1.953759
0.468750,10.156250,2.011163
0.468750,10.312500,2.070276
0.468750,10.468750,2.131177
0.468750,10.625000,2.193947
0.468750,10.781250,2.258674
0.468750,10.937500,2.325451
0.468750,11.093750,2.394378
0.468750,11.250000,2.465560
0.468750,11.406250,2.539112
0.468750,11.562500,2.615154
0.468750,11.718750,2.693818
0.468750,11.875000,2.775243
0.468750,12.031250,2.859580
0.468750,12.187500,2.946991
0.468750,12.343750,3.037652
0.468750,12.500000,3.131752
0.468750,12.656250,3.229498
0.468750,12.812500,3.331111
0.468750,12.968750,3.436834
0.468750,13.125000,3.546931
0.468750,13.281250,3.661691
0.468750,13.437500,3.781429
0.468750,13.593750,3.906490
0.468750,13.750000,4.037255
0.468750,13.906250,4.174141
0.468750,14.062500,4.317612
0.468750,14.218750,4.468178
0.468750,14.375000,4.626406
0.468750,14.531250,4.792929
0.468750,14.687500,4.968452
0.468750,14.843750,5.153765
0.468750,15.000000,5.349755
0.468750,15.156250,5.557423
0.468750,15.312500,5.777901
0.468750,15.468750,6.012476
0.468750,15.625000,6.262615
0.468750,15.781250,6.529999
0.468750,15.937500,6.816564
0.468750,16.093750,7.124550
0.468750,16.250000,7.456561
0.468750,16.406250,7.815646
0.468750,16.562500,8.205392
0.468750,16.718750,8.630054
0.468750,16.875000,9.094710
0.468750,17.031250,9.605470
